,Star_Name,Distance,Mass,Radius,Gravity
44,2MASS J04390101-2353083Â [de],29.5,1.84171455e+27,143198914857.30002,5.994170162708136e-06
45,2MASS J04455387-3048204Â [de],42,1.898675532e+27,143198914857.30002,6.179559271320518e-06
46,2MASS J04510093-3402150Â [de],69,1.36704638304e+29,143198914857.30002,0.0004449282675350773
47,2MASS J05002100+0330501Â [de],44,1.898675532e+27,143556375952.80002,6.148822888865692e-06
48,2MASS J05012406-0010452Â [de],64,2.620171359e+27,143556375952.80002,8.485372752446427e-06
49,2MASS J05160945-0445499Â [de],73,1.84171455e+27,143198914857.30002,5.994170162708136e-06
50,LSR 0602+3910Â [de],34.6,2.677132341e+27,143198914857.30002,8.713178054679093e-06
51,2MASS J06244595-4521548Â [de],39,1.879688538e+27,143556375952.80002,6.087333887016609e-06
52,2MASS J06411840-4322329Â [de],65,1.9176625259999997e+27,143556375952.80002,6.210311890714773e-06
53,DENIS-P J0652197-253450Â [de],51,1.9936085129999998e+27,143556375952.80002,6.456261456774224e-06
54,UGPS J072227.51-054031.2,13.4,1.860701544e+27,143699360391.0,6.013859120088148e-06
55,2MASSI J0727182+171001Â [de],29.6,1.7847555569999998e+27,143127422638.2,5.8145919614711444e-06
56,2MASS J07290002-3954043Â [de],25.8,1.7847555569999998e+27,143484883733.7,5.7856564902622065e-06
57,SDSS J074201.41+205520.5Â [de],49,1.7847555569999998e+27,143270407076.4,5.802991780895345e-06
58,DENIS-P J0751164-253043Â [de],55,1.955636514e+27,143556375952.80002,6.333289894412939e-06
59,DENIS J081730.0-615520,16.1,1.7847555569999998e+27,143699360391.0,5.768398762393058e-06
60,2MASS J08251968+2115521Â [de],35,1.860701544e+27,142984438200.0,6.074148057767032e-06
61,SDSSp J083008.12+482847.4Â [de],43,1.879688538e+27,143127422638.2,6.123876079420017e-06
62,SDSS J083048.80+012831.1Â [de],77,1.822727556e+27,143270407076.4,5.926454737621786e-06
63,2MASSI J0835425-081923Â [de],23.53,1.898675532e+27,143198914857.30002,6.179559271320518e-06
64,2MASSI J0847287-153237Â [de],43,1.898675532e+27,143198914857.30002,6.179559271320518e-06
65,2MASSI J0859254-194926Â [de],50,1.860701544e+27,143198914857.30002,6.055966532245597e-06
66,2MASSI J0937347+293142,20,1.7847555569999998e+27,143127422638.2,5.8145919614711444e-06
67,2MASS 0939âˆ’2448,17.4,1.803742551e+27,143341899295.5,5.858877850435213e-06
68,2MASS J09490860-1545485Â [de],59,1.822727556e+27,143341899295.5,5.92054453630634e-06
69,2MASSI J1010148-040649Â [de],55,1.860701544e+27,143198914857.30002,6.055966532245597e-06
70,2MASS J10224821+5825453Â [de],60,2.677132341e+27,143556375952.80002,8.669839757993675e-06
71,2MASSW J1036530-344138Â [de],53,1.84171455e+27,143127422638.2,6.000159840238809e-06
72,2MASS J1047538+212423Â [de],34.4,1.7847555569999998e+27,142912945980.9,5.832057559531191e-06
73,DEN 1048-3956,13.15,2.031582501e+27,142984438200.0,6.6319786439875395e-06
74,Luhman 16B,6.516,1.93664952e+27,143913837048.3,6.240683099365945e-06
75,Luhman 16A,6.516,1.9176625259999997e+27,143913837048.3,6.179499177680641e-06
76,DENIS-P J1058.7âˆ’1548,49,1.898675532e+27,142769961542.7,6.2167481097889596e-06
77,2MASS J11145133âˆ’2618235,18.2,1.822727556e+27,143341899295.5,5.92054453630634e-06
78,2MASSW J1155395-372735Â [de],31,1.898675532e+27,143127422638.2,6.185734199010621e-06
79,2MASSI J1217110-031113Â [de],36,1.7847555569999998e+27,142912945980.9,5.832057559531191e-06
80,2M 1237+6526,45.6,1.7847555569999998e+27,143198914857.30002,5.808787527631217e-06
81,SDSSp J125453.90-012247.4Â [de],38,1.860701544e+27,142984438200.0,6.074148057767032e-06
82,Kelu-1A,61,1.860701544e+27,142769961542.7,6.092411584594749e-06
83,Kelu-1B,61,1.860701544e+27,142769961542.7,6.092411584594749e-06
84,SDSSp J132629.82-003831.5Â [de],65,1.84171455e+27,142984438200.0,6.012166160079127e-06
85,SDSSp J134646.45-003150.4Â [de],48,1.7847555569999998e+27,142984438200.0,5.826226959986048e-06
86,DENIS-P J142527.97-365023.4Â [de],38,2.506251384e+27,143270407076.4,8.148878497768185e-06
87,2MASS J14482563+1031590Â [de],47,1.879688538e+27,143198914857.30002,6.1177629017830575e-06
88,2MASS 1503+2525,20.7,1.7847555569999998e+27,143198914857.30002,5.808787527631217e-06
89,2MASSW J1506544+132106Â [de],46,1.93664952e+27,142984438200.0,6.322075648518651e-06
90,2MASS 1507âˆ’1627,23.9,1.879688538e+27,142984438200.0,6.136129955454936e-06
91,2MASSW J1515008+484742Â [de],34,1.879688538e+27,143198914857.30002,6.1177629017830575e-06
92,2MASSI J1526140+204341Â [de],67,1.860701544e+27,142984438200.0,6.074148057767032e-06
93,DENIS-P J153941.96-052042.4Â [de],51,1.898675532e+27,143270407076.4,6.173393585227591e-06
94,2MASS J15462718-3325111Â [de],37,1.7847555569999998e+27,143127422638.2,5.8145919614711444e-06
95,2MASSW J1552591+294849Â [de],68,2.715106329e+27,143198914857.30002,8.836770793754017e-06
96,2MASSW J1555157-095605Â [de],44,1.955636514e+27,143127422638.2,6.371308557782432e-06
97,2MASS J16150413+1340079Â [de],48,1.7847555569999998e+27,143484883733.7,5.7856564902622065e-06
98,SDSSp J162414.37+002915.6Â [de],36,1.7847555569999998e+27,142912945980.9,5.832057559531191e-06
99,2MASSW J1632291+190441Â [de],50,1.84171455e+27,142912945980.9,6.01818283837179e-06
100,LSPM J1658+7027Â [de],60,1.974623508e+27,142984438200.0,6.446039443894461e-06
101,LSR J1835+3259,18.5,2.031582501e+27,143198914857.30002,6.612127384547281e-06
102,PSO J318.5âˆ’22,80,2.90497428e+27,143913837048.3,9.36102464904892e-06
103,2MASS J22282889-4310262,35,1.7847555569999998e+27,143913837048.3,5.751218135261435e-06
104,WISE 0410+1502,20,2.2214504519999999e+27,143699360391.0,7.179813497582682e-06
105,WISE 0458+6434A,35.9,7.974438029999998e+27,143699360391.0,2.5773691126841597e-05
106,WISE 0458+6434B,35.9,7.214966225999999e+27,143699360391.0,2.3319048978742647e-05
107,WISE 1405+5534,25.3,1.632861594e+27,143699360391.0,5.277471618478203e-06
